type,product_internal_id,product_sku,product_name,product_price,product_compare_to_price,product_is_inventory_tracked,product_quantity,product_quantity_out_of_stock_behaviour,product_low_stock_notification_quantity,product_quantity_minimum_allowed_for_purchase,product_quantity_maximum_allowed_for_purchase,product_is_available,product_media_main_image_url,product_media_main_image_alt,product_description,product_category_1,product_is_featured,product_is_featured_order_by,product_brand,product_upc,product_ribbon_text,product_ribbon_color,product_subtitle,product_weight,product_is_shipping_required,product_tax_class_code,product_seo_title,product_seo_description,product_related_item_ids,product_related_item_skus,product_related_items_random,product_related_items_random_category,product_related_items_random_number_of_items,product_option_name,product_option_type,product_option_is_required,product_option_value,product_option_markup,product_option_is_default_option_selection,product_option_swatch_hex_value,product_option_swatch_image,product_option_swatch_selector_is_image,product_variation_option_Black,product_variation_option_Colour,product_variation_option_Diameter,product_variation_option_Flavour,product_variation_option_Size,product_variation_option_Type,product_variation_sku,category_internal_id,category_path,category_is_available,category_description,category_seo_title,category_seo_description,category_image,category_image_alt,category_order_by,source_store_id,url
product_variation,809016332,841269193573 - Base,,40.00,,true,0,SHOW,1,,,,,,,,,,,,,,,0.0,true,,,,,,,,,,,,,,,,,,,Blue,,,Small,,841269179096,,,,,,,,,,129297501,https://v0-cranks.vercel.app/shop#!/100-Airmatic-Gloves/p/809016332/variation=497491278
product_variation,809016332,841269193573 - Base,,40.00,,true,0,SHOW,1,,,,,,,,,,,,,,,0.0,true,,,,,,,,,,,,,,,,,,,Blue,,,Medium,,841269179102,,,,,,,,,,129297501,https://v0-cranks.vercel.app/shop#!/100-Airmatic-Gloves/p/809016332/variation=497491279
product_variation,809016332,841269193573 - Base,,40.00,,true,0,SHOW,1,,,,,,,,,,,,,,,0.0,true,,,,,,,,,,,,,,,,,,,Blue,,,Large,,841269183512,,,,,,,,,,129297501,https://v0-cranks.vercel.app/shop#!/100-Airmatic-Gloves/p/809016332/variation=497491280
product_variation,809016332,841269193573 - Base,,40.00,,true,0,SHOW,1,,,,,,,,,,,,,,,0.0,true,,,,,,,,,,,,,,,,,,,Blue,,,X Large,,841269179126,,,,,,,,,,129297501,https://v0-cranks.vercel.app/shop#!/100-Airmatic-Gloves/p/809016332/variation=497491281
product_variation,809016332,841269193573 - Base,,40.00,,true,0,SHOW,1,,,,,,,,,,,,,,,0.0,true,,,,,,,,,,,,,,,,,,,Blue,,,XX Large,,11158,,,,,,,,,,129297501,https://v0-cranks.vercel.app/shop#!/100-Airmatic-Gloves/p/809016332/variation=497491282
product_variation,809016332,841269193573 - Base,,40.00,,true,0,SHOW,1,,,,,,,,,,,,,,,0.0,true,,,,,,,,,,,,,,,,,,,Sand,,,Small,,841269165792,,,,,,,,,,129297501,https://v0-cranks.vercel.app/shop#!/100-Airmatic-Gloves/p/809016332/variation=497491283
product_variation,809016332,841269193573 - Base,,40.00,,true,0,SHOW,1,,,,,,,,,,,,,,,0.0,true,,,,,,,,,,,,,,,,,,,Sand,,,Medium,,11147,,,,,,,,,,129297501,https://v0-cranks.vercel.app/shop#!/100-Airmatic-Gloves/p/809016332/variation=497491284
product_variation,809016332,841269193573 - Base,,40.00,,true,0,SHOW,1,,,,,,,,,,,,,,,0.0,true,,,,,,,,,,,,,,,,,,,Sand,,,Large,,11151,,,,,,,,,,129297501,https://v0-cranks.vercel.app/shop#!/100-Airmatic-Gloves/p/809016332/variation=497491285
product_variation,809016332,841269193573 - Base,,40.00,,true,0,SHOW,1,,,,,,,,,,,,,,,0.0,true,,,,,,,,,,,,,,,,,,,Sand,,,X Large,,841269160247,,,,,,,,,,129297501,https://v0-cranks.vercel.app/shop#!/100-Airmatic-Gloves/p/809016332/variation=497491286
product_variation,809016332,841269193573 - Base,,40.00,,true,0,SHOW,1,,,,,,,,,,,,,,,0.0,true,,,,,,,,,,,,,,,,,,,Sand,,,XX Large,,11159,,,,,,,,,,129297501,https://v0-cranks.vercel.app/shop#!/100-Airmatic-Gloves/p/809016332/variation=497491287
