id,name,slug,sku,price,regular_price,sale_price,stock,stock_status,weight,categories,description,short_description,image_urls,old_url
10286,SIS Go Isotonic Energy Variety Pack 7 x 60ml,sis-go-isotonic-energy-variety-pack-7-x-60ml,,22,22,,,instock,,Accessories; Brands > SIS; Accessories > Nutrition,,"<p style=\""text-align: center;\""><strong>SIS Go Isotonic Energy</strong></p>\r\nWHY CHOOSE?\r\n– The world’s first isotonic energy gel in multiple flavours\r\n– 87 calories per serving\r\n– Delivers a",http://cranks.com.au/wp-content/uploads/2023/03/SISPKGISEVP000272-6.jpg,/product/sis-go-isotonic-energy-variety-pack-7-x-60ml/
10288,SIS Go Plus Isotonic Energy Gels 60ml,sis-go-plus-isotonic-energy-gels-60ml,,4.60,4.60,,,instock,,Accessories; Accessories > Nutrition,"Flavours\r
\r
Apple\r
\r
Tropical\r
\r
Orange",WHY CHOOSE?\r\n– The world’s first isotonic energy gel\r\n– 87 calories per serving\r\n– Delivers an easily digestible and quick supply of carbohydrate\r\n\r\nOUR ORIGINAL AWARD-WINNING ISOTONIC ENERG,http://cranks.com.au/wp-content/uploads/2023/03/SISGPGISEAP002153-2.jpg|http://cranks.com.au/wp-content/uploads/2023/03/SISGPGISETR002856-2.jpg|http://cranks.com.au/wp-content/uploads/2023/03/SISGPGISEOR002054-2.jpg,/product/sis-go-plus-isotonic-energy-gels-60ml/
10293,SIS Hydro Tablet With Vitamin C and Iron 20 Tablets,sis-hydro-tablet-with-vitamin-c-and-iron-20-tablets,,14,14,,,instock,,Accessories; Brands > SIS; Accessories > Nutrition,,"<div class=\""elementor-element elementor-element-56832f1 elementor-widget elementor-widget-woocommerce-product-data-tabs\"" data-id=\""56832f1\"" data-element_type=\""widget\"" data-widget_type=\""woocommer",http://cranks.com.au/wp-content/uploads/2023/03/SISGEITBOR100108-1-1.jpg|http://cranks.com.au/wp-content/uploads/2023/03/SISGEITBOR100108.jpg,/product/sis-hydro-tablet-with-vitamin-c-and-iron-20-tablets/
10296,SIS Go Hydro + Caffeine with added B Vitamins 20 Tablets,sis-go-hydro-caffeine-with-added-b-vitamins-20-tablets,,14,14,,,instock,,Accessories; Brands > SIS; Accessories > Nutrition,,WHY CHOOSE?\r\n– Optimum hydration in a convenient format\r\n– 9 calories per serving\r\n– Perfect to drop into your bottle during exercise and designed replace the key electrolytes you lose through s,http://cranks.com.au/wp-content/uploads/2023/03/SISGEHTBCOC005703-3.jpg,/product/sis-go-hydro-caffeine-with-added-b-vitamins-20-tablets/
10301,SIS Go Energy + Electrolyte Gels 60ml,sis-go-energy-electrolyte-gels-60ml,,4.60,4.60,,,instock,,Accessories; Brands > SIS; Accessories > Nutrition,,"WHY CHOOSE?\r\n– Designed for long or warm exercise sessions\r\n– 87 calories per serving\r\n– Formulated with key electrolytes, to replace those lost via sweating\r\n\r\nABOUT GO ENERGY + ELECTROLYTE",http://cranks.com.au/wp-content/uploads/2023/03/SISGPGISEERA100019-1.jpg,/product/sis-go-energy-electrolyte-gels-60ml/
10305,SIS Go Plus Caffeine Gels Double Espresso 60ML,sis-go-plus-caffeine-gels-double-espresso-60ml,,4.60,4.60,,,instock,,Accessories; Brands > SIS; Accessories > Nutrition,,WHY CHOOSE?\r\n– 22 grams of carbohydrate\r\n– Improves alertness and concentration\r\n– Easy to digest\r\n\r\nAN ENERGY GEL WITH A CAFFEINE BOOST FOR HIGH INTENSITY EXERCISE\r\nGO Energy + Caffeine G,http://cranks.com.au/wp-content/uploads/2023/03/SISGPCGPCIT100080-3.jpg,/product/sis-go-plus-caffeine-gels-double-espresso-60ml/
10307,SIS Gel Beta Fuel Orange 60ml,sis-gel-beta-fuel-orange-60ml,,4.60,4.60,,,instock,,Accessories; Brands > SIS; Accessories > Nutrition,,"WORLD-LEADING ENERGY GEL OPTIMISED WITH A NEW CARBOHYDRATE RATIO\r\n\r\nPart of an entire world-leading fuelling solution range that includes drinks and chews, our Beta Fuel Dual Source Energy Gel is ",http://cranks.com.au/wp-content/uploads/2023/03/SISGBFOR131389-1.jpg,/product/sis-gel-beta-fuel-orange-60ml/
10560,Trek Domane SLR 6 AXS Gen 4 Road Bike,trek-domane-slr-6-axs-gen-4-road-bike,,11999,11999,,,instock,,Bikes; Bikes > Road Bikes; Brands > Trek,"Colours\r
\r
Crystal White\r
\r
Metallic Red Smoke to Red Carbon Smoke\r
\r
Juniper\r
\r
Deep Smoke\r
\r
Metallic Red Smoke to Blue Smoke Fade\r
\r
<img src=\""https://trek.scene7.com/is/image/TrekBicycleProducts/DomaneSLR6eTap_23_37346_D_Alt2?$responsive-pjpg$&amp;cache=on,on&amp;wid=160&amp;hei=120\"" alt=\""Domane SLR 6 AXS Gen 4\"" /><img src=\""https://trek.scene7.com/is/image/TrekBicycleProducts/DomaneSLR6eTap_23_37346_D_Alt3?$responsive-pjpg$&amp;cache=on,on&amp;wid=160&amp;hei=120\"" alt=\""Dom","<p style=\""text-align: center;\"">Trek Domane SLR 6 AXS Gen 4 Road Bike</p>\r\nThe Domane SLR 6 AXS is an ultra-light carbon endurance road bike with cherry-picked components made for long and fast, hi",http://cranks.com.au/wp-content/uploads/2023/03/DomaneSLR6eTap_23_37346_C_Primary-1.webp|http://cranks.com.au/wp-content/uploads/2023/03/DomaneSLR6eTap_23_37346_D_Primary-2.webp|http://cranks.com.au/wp-content/uploads/2023/03/DomaneSLR6eTap_23_37346_E_Primary-1.webp|http://cranks.com.au/wp-content/uploads/2023/03/DomaneSLR6eTap_23_37346_A_Primary-1.webp|http://cranks.com.au/wp-content/uploads/2023/03/ad13b.webp,/product/trek-domane-slr-6-axs-gen-4-road-bike/
10878,MAGICSHINE Front Light ALLTY 200 Bike Light,magicshine-front-light-allty-200-bike-light,,35,35,,,instock,,Accessories > Lights; Accessories,,"<p style=\""text-align: center;\"">MAGICSHINE Front Light ALLTY 200 Bike Light</p>\r\n<strong>Description</strong>\r\n<ul>\r\n 	<li>200 lumens max of verified output with high-efficiency LED</li>\r\n 	<",http://cranks.com.au/wp-content/uploads/2023/05/38894.jpg|http://cranks.com.au/wp-content/uploads/2023/05/39190.png|http://cranks.com.au/wp-content/uploads/2023/05/39192.jpg|http://cranks.com.au/wp-content/uploads/2023/05/39194.jpg,/product/magicshine-front-light-allty-200-bike-light/
10926,MAGICSHINE Front Light ALLTY 600 Bike Light,magicshine-front-light-allty-600-bike-light,,80,80,,,instock,,Accessories > Lights; Brands > MagicShine; Accessories,,"<p style=\""text-align: center;\"">MAGICSHINE Front Light ALLTY 600 Bike Light</p>\r\nAllty 600 is a small, easy to carry, lightweight bike front light, designed for casual and urban cyclists.\r\n<ul>\r",http://cranks.com.au/wp-content/uploads/2023/05/37544.png|http://cranks.com.au/wp-content/uploads/2023/05/37548.png|http://cranks.com.au/wp-content/uploads/2023/05/37550.png|http://cranks.com.au/wp-content/uploads/2023/05/37554.png,/product/magicshine-front-light-allty-600-bike-light/
